id_cat,id_item
ระบบประปา / สุขาภิบาล,ท่อประปา
ระบบประปา / สุขาภิบาล,ข้อต่อท่อประปา
ระบบประปา / สุขาภิบาล,ก๊อกน้ำ
ระบบประปา / สุขาภิบาล,วาล์วน้ำ
ระบบประปา / สุขาภิบาล,ปั๊มน้ำ
ระบบประปา / สุขาภิบาล,ถังเก็บน้ำ
ระบบประปา / สุขาภิบาล,โถสุขภัณฑ์
งานจัดการขยะ / รีไซเคิล,ถังขยะแยกประเภท
งานจัดการขยะ / รีไซเคิล,ถังขยะอินทรีย์
งานจัดการขยะ / รีไซเคิล,ถังขยะทั่วไป
งานจัดการขยะ / รีไซเคิล,ภาชนะขยะอันตราย
งานจัดการขยะ / รีไซเคิล,ถุงขยะรีไซเคิล
งานจัดการขยะ / รีไซเคิล,ถังปุ๋ยหมัก
หลังคา / รางน้ำฝน,กระเบื้องมุงหลังคา
หลังคา / รางน้ำฝน,ครอบสันหลังคา
หลังคา / รางน้ำฝน,แผ่นปิดรอยต่อหลังคา
หลังคา / รางน้ำฝน,รางน้ำฝน
หลังคา / รางน้ำฝน,ท่อน้ำลง
หลังคา / รางน้ำฝน,ตะแกรงกันใบไม้รางน้ำ
ระบบไฟฟ้า,สายไฟ
ระบบไฟฟ้า,ตู้โหลดไฟ / เบรกเกอร์
ระบบไฟฟ้า,เต้ารับ (ปลั๊กไฟ)
ระบบไฟฟ้า,สวิตช์ไฟ
ระบบไฟฟ้า,หลอดไฟ
ระบบไฟฟ้า,ฟิวส์ไฟฟ้า
ระบบความปลอดภัย,กล้องวงจรปิด
ระบบความปลอดภัย,เซ็นเซอร์ประตู/หน้าต่าง
ระบบความปลอดภัย,ชุดสัญญาณกันขโมย
ระบบความปลอดภัย,กุญแจดิจิตอล
ระบบความปลอดภัย,ไฟเซ็นเซอร์รักษาความปลอดภัย
ระบบความปลอดภัย,เครื่องตรวจจับควัน
งานแม่บ้าน / ทำความสะอาดทั่วไป,ไม้กวาด
งานแม่บ้าน / ทำความสะอาดทั่วไป,ไม้ถูพื้น
งานแม่บ้าน / ทำความสะอาดทั่วไป,เครื่องดูดฝุ่น
งานแม่บ้าน / ทำความสะอาดทั่วไป,น้ำยาและผ้าทำความสะอาด
งานแม่บ้าน / ทำความสะอาดทั่วไป,ถังขยะ
งานแม่บ้าน / ทำความสะอาดทั่วไป,แปรงขัดห้องน้ำ
งานสี / พื้นผิว,สีน้ำ/สีน้ำมัน
งานสี / พื้นผิว,สีรองพื้น
งานสี / พื้นผิว,ยาแนว/ซีลแลนท์
งานสี / พื้นผิว,แปรงทาสี/ลูกกลิ้ง
งานสี / พื้นผิว,วัสดุอุดโป๊ว
งานสี / พื้นผิว,น้ำยากันเชื้อรา
ระบบระบายอากาศ / แอร์,เครื่องปรับอากาศ
ระบบระบายอากาศ / แอร์,พัดลมระบายอากาศ
ระบบระบายอากาศ / แอร์,ท่อระบายอากาศ
ระบบระบายอากาศ / แอร์,แผ่นกรองอากาศ
ระบบระบายอากาศ / แอร์,พัดลมเพดาน
ระบบระบายอากาศ / แอร์,เทอร์โมสตัท
งานบริหารจัดการงบประมาณ,แผนงบประมาณดูแลบ้าน
งานบริหารจัดการงบประมาณ,ตารางบันทึกรายจ่าย
งานบริหารจัดการงบประมาณ,ใบเสนอราคางานซ่อม
งานบริหารจัดการงบประมาณ,กองทุนฉุกเฉิน
งานบริหารจัดการงบประมาณ,แอปพลิเคชันบริหารการเงิน
งานบริหารจัดการงบประมาณ,ราคาวัสดุอ้างอิง
งานจัดการสัตว์เลี้ยง,ประตูสำหรับสัตว์เลี้ยง
งานจัดการสัตว์เลี้ยง,กรง/บ้านสัตว์เลี้ยง
งานจัดการสัตว์เลี้ยง,ชามอาหารและน้ำสัตว์เลี้ยง
งานจัดการสัตว์เลี้ยง,กระบะทรายแมว
งานจัดการสัตว์เลี้ยง,แผ่นรองซับฉี่สุนัข
งานจัดการสัตว์เลี้ยง,แปรง/หวีสำหรับสัตว์เลี้ยง
งานศิลป์ / ตกแต่งภายใน,เฟอร์นิเจอร์ตกแต่ง
งานศิลป์ / ตกแต่งภายใน,ผ้าม่าน/มู่ลี่
งานศิลป์ / ตกแต่งภายใน,วอลเปเปอร์
งานศิลป์ / ตกแต่งภายใน,โคมไฟตกแต่ง
งานศิลป์ / ตกแต่งภายใน,พรมและผ้าตกแต่ง
งานศิลป์ / ตกแต่งภายใน,ภาพและงานศิลป์
ระบบอินเทอร์เน็ต / ไอที,เราเตอร์อินเทอร์เน็ต
ระบบอินเทอร์เน็ต / ไอที,โมเด็ม
ระบบอินเทอร์เน็ต / ไอที,สาย LAN
ระบบอินเทอร์เน็ต / ไอที,ตัวขยายสัญญาณ Wi-Fi
ระบบอินเทอร์เน็ต / ไอที,สวิตช์เครือข่าย
งานเอกสารบ้าน / ประกันภัย,โฉนดที่ดิน/บ้าน
งานเอกสารบ้าน / ประกันภัย,แบบแปลนบ้าน
งานเอกสารบ้าน / ประกันภัย,คู่มือและใบรับประกันเครื่องใช้
งานเอกสารบ้าน / ประกันภัย,กรมธรรม์ประกันภัยบ้าน
งานเอกสารบ้าน / ประกันภัย,สัญญาว่าจ้างและใบเสร็จ
งานเอกสารบ้าน / ประกันภัย,บิลค่าสาธารณูปโภค
งานโครงสร้าง,ฐานราก
งานโครงสร้าง,เสาโครงสร้าง
งานโครงสร้าง,คานโครงสร้าง
งานโครงสร้าง,พื้นคอนกรีต
งานโครงสร้าง,ผนังรับน้ำหนัก
งานโครงสร้าง,เหล็กเสริมโครงสร้าง
งานไม้ / งานบานประตูหน้าต่าง,ประตูไม้
งานไม้ / งานบานประตูหน้าต่าง,หน้าต่าง
งานไม้ / งานบานประตูหน้าต่าง,วงกบประตู/หน้าต่าง
งานไม้ / งานบานประตูหน้าต่าง,บานพับ
งานไม้ / งานบานประตูหน้าต่าง,กลอน/ลูกบิดประตู
งานไม้ / งานบานประตูหน้าต่าง,มุ้งลวด
งานจัดการแมลง / สัตว์รบกวน,เหยื่อกำจัดปลวก
งานจัดการแมลง / สัตว์รบกวน,สเปรย์ยาฆ่าแมลง
งานจัดการแมลง / สัตว์รบกวน,กับดักหนู
งานจัดการแมลง / สัตว์รบกวน,มุ้งลวดกันยุง
งานจัดการแมลง / สัตว์รบกวน,เจลหรือเหยื่อกำจัดมด
งานจัดการแมลง / สัตว์รบกวน,เครื่องไล่แมลงอิเล็กทรอนิกส์
งานสวน / ภูมิทัศน์,สนามหญ้า
งานสวน / ภูมิทัศน์,ต้นไม้ใหญ่
งานสวน / ภูมิทัศน์,พุ่มไม้/แนวรั้วต้นไม้
งานสวน / ภูมิทัศน์,ระบบรดน้ำสวน
งานสวน / ภูมิทัศน์,เครื่องตัดหญ้า
งานสวน / ภูมิทัศน์,ดินและปุ๋ย
