id,name_th,id_name_th
1,ช่างจากแพลตฟอร์มคิวช่าง,ช่างจากแพลตฟอร์มคิวช่าง
2,Future charge,future_charge
3,Minima House,minima_house
4,KEMREX,kemrex
5,BIW,biw
6,SCG Home Experience Vendor,scg_home_experience_vendor
7,CVT,cvt
8,Do Care,do_care
9,SCG Living and Housing Solution,scg_living_and_housing_solution
10,บริษัท หญ้าเทียมพรีเมียม จำกัด,บริษัท_หญ้าเทียมพรีเมียม_จำกัด
11,Lamina,lamina
12,MagiX,magix
13,NAICHANG HOME SOLUTION,naichang_home_solution
14,Freshnergy,freshnergy
15,SCG Home Experience,scg_home_experience
16,HomeSmile,homesmile
17,SCG Distribution,scg_distribution
18,Cooncho Product,cooncho_product
19,SCG,scg
20,VICHITR,vichitr
21,EZYBUILT,ezybuilt
22,ShowerKing,showerking
23,LINEDEKOR,linedekor
24,สาดส่องแสง,สาดส่องแสง
25,dooDeco,doodeco
26,MeClass,meclass
27,AIRWAVE+,airwave+
